구분,총 전력수요,,,,,,,,,,,,,,,,,,,,,,,
20161021,2443150 ,,,,,,,,,,,,,,,,,,,,,,,
20161022,2524110 ,,,,,,,,,,,,,,,,,,,,,,,
20161023,2460760 ,,,,,,,,,,,,,,,,,,,,,,,
20161024,2613170 ,,,,,,,,,,,,,,,,,,,,,,,
20161025,2645010 ,,,,,,,,,,,,,,,,,,,,,,,
20161026,2634850 ,,,,,,,,,,,,,,,,,,,,,,,
20161027,2529600 ,,,,,,,,,,,,,,,,,,,,,,,
20161028,2441420 ,,,,,,,,,,,,,,,,,,,,,,,
20161029,2511800 ,,,,,,,,,,,,,,,,,,,,,,,
20161030,2447440 ,,,,,,,,,,,,,,,,,,,,,,,
20161031,2611580 ,,,,,,,,,,,,,,,,,,,,,,,
20161101,2687630 ,,,,,,,,,,,,,,,,,,,,,,,
20161102,2705460 ,,,,,,,,,,,,,,,,,,,,,,,
20161103,2588740 ,,,,,,,,,,,,,,,,,,,,,,,
20161104,2523230 ,,,,,,,,,,,,,,,,,,,,,,,
20161105,2586380 ,,,,,,,,,,,,,,,,,,,,,,,
20161106,2506390 ,,,,,,,,,,,,,,,,,,,,,,,
20161107,2687690 ,,,,,,,,,,,,,,,,,,,,,,,
20161108,2748810 ,,,,,,,,,,,,,,,,,,,,,,,
20161109,2756850 ,,,,,,,,,,,,,,,,,,,,,,,
20161110,2630990 ,,,,,,,,,,,,,,,,,,,,,,,
20161111,2528900 ,,,,,,,,,,,,,,,,,,,,,,,
20161112,2591630 ,,,,,,,,,,,,,,,,,,,,,,,
20161113,2566390 ,,,,,,,,,,,,,,,,,,,,,,,
20161114,2750930 ,,,,,,,,,,,,,,,,,,,,,,,
20161115,2774690 ,,,,,,,,,,,,,,,,,,,,,,,
20161116,2801000 ,,,,,,,,,,,,,,,,,,,,,,,
20161117,2668570 ,,,,,,,,,,,,,,,,,,,,,,,
20161118,2565910 ,,,,,,,,,,,,,,,,,,,,,,,
20161119,2652900 ,,,,,,,,,,,,,,,,,,,,,,,
20161120,2609500 ,,,,,,,,,,,,,,,,,,,,,,,
20161121,2790840 ,,,,,,,,,,,,,,,,,,,,,,,
20161122,2843050 ,,,,,,,,,,,,,,,,,,,,,,,
20161123,2868420 ,,,,,,,,,,,,,,,,,,,,,,,
20161124,2767960 ,,,,,,,,,,,,,,,,,,,,,,,
20161125,2645520 ,,,,,,,,,,,,,,,,,,,,,,,
20161126,2738280 ,,,,,,,,,,,,,,,,,,,,,,,
20161127,2663840 ,,,,,,,,,,,,,,,,,,,,,,,
20161128,2861460 ,,,,,,,,,,,,,,,,,,,,,,,
20161129,2874160 ,,,,,,,,,,,,,,,,,,,,,,,
20161130,2886720 ,,,,,,,,,,,,,,,,,,,,,,,
20161201,2790150 ,,,,,,,,,,,,,,,,,,,,,,,
20161202,2670870 ,,,,,,,,,,,,,,,,,,,,,,,
20161203,2721700 ,,,,,,,,,,,,,,,,,,,,,,,
20161204,2689460 ,,,,,,,,,,,,,,,,,,,,,,,
20161205,2907650 ,,,,,,,,,,,,,,,,,,,,,,,
20161206,2983920 ,,,,,,,,,,,,,,,,,,,,,,,
20161207,2960070 ,,,,,,,,,,,,,,,,,,,,,,,
20161208,2869170 ,,,,,,,,,,,,,,,,,,,,,,,
20161209,2757580 ,,,,,,,,,,,,,,,,,,,,,,,
20161210,2872430 ,,,,,,,,,,,,,,,,,,,,,,,
20161211,2789950 ,,,,,,,,,,,,,,,,,,,,,,,
20161212,2991150 ,,,,,,,,,,,,,,,,,,,,,,,
20161213,3022680 ,,,,,,,,,,,,,,,,,,,,,,,
20161214,3042740 ,,,,,,,,,,,,,,,,,,,,,,,
20161215,2913180 ,,,,,,,,,,,,,,,,,,,,,,,
20161216,2798290 ,,,,,,,,,,,,,,,,,,,,,,,
20161217,2875930 ,,,,,,,,,,,,,,,,,,,,,,,
20161218,2823170 ,,,,,,,,,,,,,,,,,,,,,,,
20161219,2987940 ,,,,,,,,,,,,,,,,,,,,,,,
20161220,3028060 ,,,,,,,,,,,,,,,,,,,,,,,
20161221,3039860 ,,,,,,,,,,,,,,,,,,,,,,,
20161222,2924940 ,,,,,,,,,,,,,,,,,,,,,,,
20161223,2816410 ,,,,,,,,,,,,,,,,,,,,,,,
20161224,2856690 ,,,,,,,,,,,,,,,,,,,,,,,
20161225,2798550 ,,,,,,,,,,,,,,,,,,,,,,,
20161226,3003410 ,,,,,,,,,,,,,,,,,,,,,,,
20161227,3111560 ,,,,,,,,,,,,,,,,,,,,,,,
20161228,3114720 ,,,,,,,,,,,,,,,,,,,,,,,
20161229,2991930 ,,,,,,,,,,,,,,,,,,,,,,,
20161230,2855830 ,,,,,,,,,,,,,,,,,,,,,,,
20161231,2892210 ,,,,,,,,,,,,,,,,,,,,,,,
20170101,1225190,,,,,,,,,,,,,,,,,,,,,,,
20170102,1527730,,,,,,,,,,,,,,,,,,,,,,,
20170103,1570370,,,,,,,,,,,,,,,,,,,,,,,
20170104,1555010,,,,,,,,,,,,,,,,,,,,,,,
20170105,1535690,,,,,,,,,,,,,,,,,,,,,,,
20170106,1545870,,,,,,,,,,,,,,,,,,,,,,,
20170107,1421770,,,,,,,,,,,,,,,,,,,,,,,
20170108,1314080,,,,,,,,,,,,,,,,,,,,,,,
20170109,1523630,,,,,,,,,,,,,,,,,,,,,,,
20170110,1571650,,,,,,,,,,,,,,,,,,,,,,,
20170111,1570980,,,,,,,,,,,,,,,,,,,,,,,
20170112,1573030,,,,,,,,,,,,,,,,,,,,,,,
20170113,1605490,,,,,,,,,,,,,,,,,,,,,,,
20170114,1479280,,,,,,,,,,,,,,,,,,,,,,,
20170115,1368790,,,,,,,,,,,,,,,,,,,,,,,
20170116,1563450,,,,,,,,,,,,,,,,,,,,,,,
20170117,1609530,,,,,,,,,,,,,,,,,,,,,,,
20170118,1614820,,,,,,,,,,,,,,,,,,,,,,,
20170119,1643290,,,,,,,,,,,,,,,,,,,,,,,
20170120,1665740,,,,,,,,,,,,,,,,,,,,,,,
20170121,1522360,,,,,,,,,,,,,,,,,,,,,,,
20170122,1398920,,,,,,,,,,,,,,,,,,,,,,,
20170123,1623150,,,,,,,,,,,,,,,,,,,,,,,
20170124,1653270,,,,,,,,,,,,,,,,,,,,,,,
20170125,1660080,,,,,,,,,,,,,,,,,,,,,,,
20170126,1555310,,,,,,,,,,,,,,,,,,,,,,,
20170127,1274010,,,,,,,,,,,,,,,,,,,,,,,
20170128,1111340,,,,,,,,,,,,,,,,,,,,,,,
20170129,1132320,,,,,,,,,,,,,,,,,,,,,,,
20170130,1231840,,,,,,,,,,,,,,,,,,,,,,,
20170131,1548050,,,,,,,,,,,,,,,,,,,,,,,
20170201,1674000,,,,,,,,,,,,,,,,,,,,,,,
20170202,1662780,,,,,,,,,,,,,,,,,,,,,,,
20170203,1621320,,,,,,,,,,,,,,,,,,,,,,,
20170204,1479980,,,,,,,,,,,,,,,,,,,,,,,
20170205,1351420,,,,,,,,,,,,,,,,,,,,,,,
20170206,1594880,,,,,,,,,,,,,,,,,,,,,,,
20170207,1615080,,,,,,,,,,,,,,,,,,,,,,,
20170208,1605390,,,,,,,,,,,,,,,,,,,,,,,
20170209,1630840,,,,,,,,,,,,,,,,,,,,,,,
20170210,1642340,,,,,,,,,,,,,,,,,,,,,,,
20170211,1469560,,,,,,,,,,,,,,,,,,,,,,,
20170212,1344700,,,,,,,,,,,,,,,,,,,,,,,
20170213,1567510,,,,,,,,,,,,,,,,,,,,,,,
20170214,1618980,,,,,,,,,,,,,,,,,,,,,,,
20170215,1587520,,,,,,,,,,,,,,,,,,,,,,,
20170216,1574320,,,,,,,,,,,,,,,,,,,,,,,
20170217,1597970,,,,,,,,,,,,,,,,,,,,,,,
20170218,1446790,,,,,,,,,,,,,,,,,,,,,,,
20170219,1318100,,,,,,,,,,,,,,,,,,,,,,,
20170220,1549420,,,,,,,,,,,,,,,,,,,,,,,
20170221,1562230,,,,,,,,,,,,,,,,,,,,,,,
20170222,1583050,,,,,,,,,,,,,,,,,,,,,,,
20170223,1588350,,,,,,,,,,,,,,,,,,,,,,,
20170224,1587190,,,,,,,,,,,,,,,,,,,,,,,
20170225,1407590,,,,,,,,,,,,,,,,,,,,,,,
